2560,Hy-vee Food Store / Marion,A,"3600 Business Hwy 151 East
Marion, IA 523020000
(42.03329165900004, -91.59989684299995)",
2561,Hy-Vee Food Store / Fleur / DSM,A,"4605 Fleur Drive
Des Moines, IA 503210000
(41.54327739800004, -93.64491387499999)",
2562,Hy-vee Food Store / Fort Dodge,A,"115 South 29th St
Fort Dodge, IA 505010000
(42.504739622000045, -94.15821323099999)",
2564,Hy-vee Food Store #4 / Waterloo,A,"4000 University
Waterloo, IA 507010000
(42.505186707000064, -92.40371437099998)",
2565,Hy-vee Food Store / Spencer,A,"819 N Grand Ave
Spencer, IA 513010000
(43.14659055200008, -95.14517602099994)",
2566,Hy-vee Food Store / Knoxville,A,"813 N Lincoln Ste 1
Knoxville, IA 501380000
(41.32502320000003, -93.10944293099999)",
2567,Hy-vee Drugstore / Davenport,A,"2200 West Kimberly
Davenport, IA 528060000
(41.56017849800003, -90.60893980399999)",
2568,Hy-Vee Food Store #4 / Cedar Rapids,A,"1556 First Avenue Ne
Cedar Rapids, IA 524020000
(41.988826181000036, -91.65114528999999)",
2569,Hy-vee Food Store #2 / Cedar Rapids,A,"279 Collins Road Ne
Cedar Rapids, IA 524020000
(42.02779767700008, -91.63120795599997)",
2570,Hy-Vee Food Store / Harlan,I,"2003 Chatburn Avenue
Harlan, IA 515370000
(41.64605345200005, -95.33604113399997)",
2571,Hy-vee Food Store #2 / Waterloo,A,"2181 Logan Ave
Waterloo, IA 507031005
(42.53035945600004, -92.33759759199995)",
2572,Hy-Vee Food Store / Cedar Falls,A,"6301 University
Cedar Falls, IA 506130000
(42.512742219000074, -92.43242001499999)",
2573,Hy-Vee Food Store / Muscatine,A,"2400 2nd Ave
Muscatine, IA 527610000
(41.45021163500007, -91.03552720699997)",
2575,Hy-vee Food Store #1 / Waterloo,A,"2834 Ansborough Ave
Waterloo, IA 507020000
(42.47190646700005, -92.37669569099995)",
2576,Hy-vee Wine and Spirits / Storm Lake,A,"1250 N Lake St
Storm Lake, IA 505880000
(42.653392438000026, -95.20082770499994)",
2578,Hy-vee / Charles City,A,"901 Kelly St
Charles City, IA 506160000
(43.06837242000006, -92.67848980799994)",
