series,episode,baker,outcome,signature_handshake,technical,showstopper_handshake,signature_ingredients,showstopper_ingredients
5,7,Chetna,IN,No,6,No,NULL,NULL
5,7,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Diana,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Kate,OUT,No,4,No,NULL,NULL
5,7,Luis,IN,No,5,No,NULL,NULL
5,7,Martha,IN,No,3,No,NULL,NULL
5,7,Nancy,IN,No,2,No,NULL,NULL
5,7,Norman,NULL,NULL,NULL,NULL,NULL,NULL
5,7,Richard,STARBAKER,No,1,No,NULL,NULL
5,8,Chetna,IN,No,1,No,NULL,NULL
5,8,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Diana,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Kate,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Luis,IN,No,2,No,NULL,NULL
5,8,Martha,OUT,No,5,No,NULL,NULL
5,8,Nancy,IN,No,3,No,NULL,NULL
5,8,Norman,NULL,NULL,NULL,NULL,NULL,NULL
5,8,Richard,STARBAKER,No,4,No,NULL,NULL
5,9,Chetna,OUT,No,4,No,NULL,NULL
5,9,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Diana,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Kate,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Luis,IN,No,1,No,NULL,NULL
5,9,Martha,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Nancy,IN,No,3,No,NULL,NULL
5,9,Norman,NULL,NULL,NULL,NULL,NULL,NULL
5,9,Richard,STARBAKER,No,2,No,NULL,NULL
5,10,Chetna,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Claire,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Diana,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Enwezor,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Iain,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Jordan,NULL,NULL,NULL,NULL,NULL,NULL
5,10,Kate,NULL,NULL,NULL,NULL,NULL,NULL
